Rayon;Libellé produit;Marque;Code Produit;Température;Conditionnement;Unité de commande;Prix;Prix à l'unité de mesure;Prix à la portion;DLC garantie au client
Poissons Coquillages Crustacés;Turbot elévé en espagne;;231814;Frais;Par pièce de 1.5 kg. ;pièce; 38,76 EUR; 25,84 EUR / kg;;
Poissons Coquillages Crustacés;Turbot élevé;;231816;Frais;Par pièce de 3.5 kg. ;pièce;114,27 EUR; 32,65 EUR / kg;;
Fruits et Légumes;Myrtille. catégorie 1;STKFL;232065;Frais;Par barquette de 125 g. ;barquette;  3,06 EUR; 24,46 EUR / kg;;10 jour(s)
Desserts Glaces;Eclair fondant chocolat;SYMPHONIE PASQUIER;232070;Surgele;Portion de 80 g. Sachet de 10 portions. ;sachet;  6,79 EUR;  8,49 EUR / kg;  0,68 EUR / Portion;30 jour(s)
Desserts Glaces;Eclair fondant au café;SYMPHONIE PASQUIER;232074;Surgele;Sachet de 800 g. Colis de 6 sachets. Sachet de 10 portions. ;colis; 42,51 EUR;  8,86 EUR / kg;  7,09 EUR / sachet;30 jour(s)
Pains Viennoiserie Pâtes;Petit pain précuit sur sole. bio;BRIDOR;232136;Surgele;Portion de 50 g. Colis de 180 portions. ;colis; 36,14 EUR;  4,02 EUR / kg;  0,20 EUR / Portion;30 jour(s)
Poissons Coquillages Crustacés;Crevette cuite décortiquée. moyenne 200/300. colorée, en saumure;DELICEMER;232273;Frais;Par pot de 900 g. Colis de 6 pots. ;pot; 15,65 EUR; 17,39 EUR / kg; 93,90 EUR / colis;7 jour(s)
Charcuterie Traiteur;Jambon cuit choix 1/2 lune. découenné dégraissé. tranche de 40 g;JEAN FLOCH;232418;Frais;Portion de 40 g. Barquette de 25 portions. ;barquette;  7,76 EUR;  7,76 EUR / kg;  0,31 EUR / Portion;7 jour(s)
Charcuterie Traiteur;Blanc de dinde cuit. pièce de 40 gr. 10 tranches;JEAN FLOCH;232456;Frais;Portion de 40 g. Barquette de 10 portions. ;barquette;  4,44 EUR; 11,11 EUR / kg;  0,44 EUR / Portion;7 jour(s)
Épicerie;Oeuf saumon sauvage;COMPTOIR DU CAVIAR;232829;Frais;Par pot de 100 g. ;pot; 11,83 EUR;118,32 EUR / kg;;
Accompagnements Assaisonnement;Légumes pour couscous. cuisinés;D'AUCY;233737;Surgele;Par sachet de 2.5 kg. Colis de 4 sachets. ;sachet;  9,85 EUR;  3,94 EUR / kg; 39,41 EUR / colis;30 jour(s)
Équipement Hygiène;Godet en aluminium. contenance 135cc. 86x33mm;;233961;Ambiant;Sachet de 100 portions. ;sachet;  4,30 EUR;;  0,04 EUR / Portion;
Équipement Hygiène;Godet en aluminium. contenance 90 cc. 75x40mm;;233970;Ambiant;Sachet de 100 portions. ;sachet;  4,75 EUR;;  0,05 EUR / Portion;
Fruits et Légumes;Courgette  14/21. catégorie 1;STKFL;235662;Frais;Par filet de 1 kg. ;filet;  3,13 EUR;  3,13 EUR / kg;;
Poissons Coquillages Crustacés;Saint pierre petits bateaux;;235848;Frais;Par pièce de 857 g. ;pièce; 28,86 EUR; 33,67 EUR / kg;;
Poissons Coquillages Crustacés;Langoustine crue. calibre 10/15;;235856;Frais;Par pièce de 3 kg. ;pièce; 75,24 EUR; 25,08 EUR / kg;;
Poissons Coquillages Crustacés;Langoutine crue. calibre 16/20;;235857;Frais;Par pièce de 3 kg. ;pièce; 50,63 EUR; 16,88 EUR / kg;;
Poissons Coquillages Crustacés;Queue de Lotte pechée en mer;;235879;Frais;Par pièce de 2.5 kg. ;pièce; 65,54 EUR; 26,22 EUR / kg;;
Poissons Coquillages Crustacés;Filet maigre élevé;;235884;Frais;Par pièce de 700 g. ;pièce; 22,03 EUR; 31,47 EUR / kg;;3 jour(s)
Poissons Coquillages Crustacés;Maquereau;;235885;Frais;Par pièce de 3 kg. ;pièce; 29,65 EUR;  9,88 EUR / kg;;
Fruits et Légumes;Poireau. catégorie 1. France;STKFL;235968;Frais;Par pièce de 1 kg. ;pièce;  1,95 EUR;  1,95 EUR / kg;;
Poissons Coquillages Crustacés;Saint pierre. vidé;;235971;Frais;Par pièce de 2.5 kg. ;pièce;100,70 EUR; 40,28 EUR / kg;;
Équipement Hygiène;Serviette blanche. 2 plis. dimension 32 x 32 cm;TORK;236297;Ambiant;Sachet de 200 portions. ;sachet;  3,72 EUR;;  0,02 EUR / Portion;
Poissons Coquillages Crustacés;Préparation de longe de thon. albacore décongelée;;236560;Frais;Par pièce de 3.5 kg. ;pièce; 52,54 EUR; 15,01 EUR / kg;;3 jour(s)
